Pat,gene446,gene401,gene5439,gene4398,gene8415,gene7603,gene4409,gene9666,gene1207,gene697,gene2954,gene399,gene9202,gene9817,gene4372,gene3563,gene5899,CETP,gene6523,gene8670,gene2668,gene8355,gene3997,gene2432,gene6979,gene6326,gene7192,gene5726,gene3932,gene9808,gene4116,gene3795,gene1980,gene4064,gene2501,gene3083,gene1898,gene3478,gene4518,gene587,gene8453,gene156,gene2959,gene6352,gene757,gene3724,gene8846,gene4960,gene1031,gene2920,gene4363,gene1397,gene3848,gene7670,gene1776,gene8625,gene461,gene1853,gene7377
22,1.04094,0.846472,0.839702,0.84851,1.51449,0.793963,1.10225,1.92403,1.29578,0.782593,0.996054,0.896478,0.908371,0.620613,1.02613,0.841929,1.01911,0.877448,0.908915,1.05868,1.7531,0.814958,0.991735,0.721849,0.871606,1.23583,1.2776,1.13872,1.19081,0.882573,0.748989,0.916633,0.70504,1.04043,1.10621,0.573805,2.04409,1.13262,0.781766,1.05228,0.953335,0.791364,0.998165,1.09028,1.19633,1.10001,0.836688,1.01656,0.917589,1.24623,0.963811,0.783737,0.699071,1.1748,0.921053,1.29108,1.09567,0.883529,0.859656
23,1.02137,1.83188,1.10037,1.96022,0.429995,1.13787,1.49353,1.96514,1.63047,0.63364,0.582447,0.558653,1.46152,0.248062,2.35621,0.338533,1.44503,0.271171,0.424736,0.975076,0.644637,1.34175,0.984943,0.711056,1.42867,1.05236,0.771411,0.716645,0.931843,1.07643,1.05194,1.38814,0.473473,0.631402,0.576872,0.165994,0.918651,0.884667,0.765021,0.467369,1.74241,1.14023,0.780538,1.21922,1.23753,1.13881,1.55673,1.00505,0.577833,0.518372,0.543065,3.23706,0.779398,1.42176,0.600701,0.662222,1.79807,1.68609,1.40074
24,0.591312,0.250836,0.682731,1.19384,0.261014,1.27402,3.63298,1.04442,1.1144,0.147198,1.22176,0.803495,1.38142,1.17718,0.70286,0.796413,1.13478,0.674742,1.29695,1.16021,0.872154,0.728014,0.572851,0.216649,1.09458,1.68321,1.01272,1.42068,1.20938,0.990449,1.03105,1.21948,0.723286,1.0335,0.818119,0.299643,1.08413,0.931339,1.24604,0.953119,1.15341,1.0868,1.20223,0.981326,1.02291,3.31871,1.29265,0.483971,0.89687,0.97214,0.249537,1.08288,1.09105,1.05905,0.3726,0.960323,0.685541,1.14026,0.897665
25,0.666837,0.486006,1.17843,1.22826,0.498881,0.910246,1.59129,2.15545,0.893046,0.71715,0.988975,1.48033,1.16407,0.791922,1.09655,0.650985,1.14434,0.609838,0.642621,0.947182,1.14619,0.950881,1.63852,0.593701,1.37973,0.676718,1.27406,1.15751,1.43122,1.09765,1.24364,1.1749,0.807142,0.885131,1.09591,0.763064,1.17128,1.27937,1.41347,0.872026,0.741807,0.955269,1.64726,1.1665,1.35612,1.51714,1.32696,1.59654,0.895986,1.18931,0.579144,1.10744,1.1426,0.625231,0.515259,0.811995,0.990301,0.850074,1.69845
26,0.643782,0.818278,1.24334,0.7961,1.42744,0.988685,0.963607,1.02332,0.911714,0.520866,1.06251,1.07287,1.25871,0.409741,0.866032,0.827939,2.25107,0.783093,1.38669,1.31531,1.18174,0.67906,0.61257,0.956458,0.783739,1.84892,0.841169,1.45836,1.15146,0.780331,1.1172,0.829273,1.02879,1.08162,1.25034,0.831895,1.10785,1.49307,1.23641,1.09172,0.614191,0.61263,0.791362,1.55592,1.0933,0.910743,0.563158,1.03792,1.10838,2.27505,1.05619,0.533468,1.0966,1.43422,1.00861,1.04697,1.35796,1.13337,0.961146
28,0.731834,0.553472,0.800889,1.39308,0.307683,0.939994,1.87376,1.67788,0.878123,0.321174,0.935578,0.965835,0.861335,0.920014,0.782165,1.02013,0.980923,0.536079,1.00127,0.972251,0.973322,1.09224,1.30397,1.38318,1.20543,0.704828,1.0056,1.01918,1.09903,1.21936,1.18246,1.05448,0.972228,0.990963,1.33591,0.887709,0.814524,0.907047,0.89066,0.966775,1.03246,1.36708,0.808387,0.803309,1.49017,0.944623,1.14054,0.998689,0.873487,0.793789,1.68304,1.80824,1.30578,0.776043,0.498895,1.18896,1.04545,0.940675,1.65206
29,0.956187,0.665975,0.983258,0.967504,1.05995,1.08697,1.13542,1.31399,0.624385,1.03646,0.833017,0.999867,1.27303,0.467332,0.743378,1.09004,1.01592,0.993825,1.04421,1.00452,0.769469,0.938553,0.988448,1.10235,0.988877,1.43393,1.15331,1.19303,0.924205,1.03945,0.714916,0.90194,1.12518,1.24569,0.882062,1.29851,1.66223,0.936306,1.06325,1.25579,1.01132,1.01828,1.13635,0.885876,0.832732,1.2173,1.03368,1.12107,1.08067,0.997315,1.3126,1.60003,0.857715,0.815012,0.778764,0.928456,1.10569,1.24101,1.04486
31,0.644865,0.421948,0.833026,1.1209,0.371424,0.876869,1.34761,0.828991,0.630539,0.374906,0.887165,0.608215,1.14471,0.751926,0.649163,0.905411,1.07835,0.577239,0.865601,1.08781,1.53214,0.90649,0.83875,0.684005,1.16237,1.91832,1.07289,0.752058,0.956146,0.971658,1.38706,1.16371,0.802804,1.13604,1.02968,0.847285,0.819369,1.04147,1.37086,0.798807,1.1722,0.8614,1.0522,0.916504,0.828916,1.38597,1.27642,0.860816,0.881023,0.757272,0.663425,0.883814,1.40416,0.869447,0.437216,0.995182,1.02911,0.960981,0.967254
32,0.636523,0.283949,0.644124,1.27966,0.250958,1.4498,1.71357,0.998755,0.977125,0.464501,0.908325,0.544716,1.10164,1.18462,0.767014,0.823105,1.17538,0.396146,0.949589,1.25929,1.24534,0.777983,1.38799,0.420775,1.13895,1.1176,0.924228,0.767848,1.07719,1.17481,1.00607,1.24862,0.477251,1.05853,0.945881,0.751162,0.827277,1.00802,1.15095,0.952607,1.00324,0.996952,1.19005,0.953434,1.38955,1.68432,1.6034,0.88122,0.947416,0.637901,0.675448,1.52855,1.33319,0.779785,0.409536,0.933219,1.26537,1.04251,1.0497
34,0.645393,0.556101,0.911359,1.42129,0.339667,0.772891,2.04741,1.54871,1.12599,0.675576,1.16193,0.87824,1.1946,1.23548,0.960527,0.763819,0.936676,0.3638,0.920692,1.16972,0.711306,1.21034,0.709131,0.58733,1.06392,1.14608,0.730675,1.52186,0.832973,1.20899,0.846303,1.33062,0.797451,0.830466,1.06915,0.79856,0.973858,0.769259,1.50512,0.817728,1.09459,1.11548,0.753853,0.905607,1.14216,1.72594,1.19273,0.903171,1.06371,0.700969,0.213843,1.42032,1.06028,0.764147,0.382811,0.614742,0.820455,0.851106,1.31315
36,1.89368,1.05946,0.973409,1.06838,1.57703,0.814471,1.15862,1.26027,1.25716,1.74651,0.761664,0.760465,1.06831,1.33725,0.835032,0.929419,1.30118,1.11966,0.896636,0.940731,0.914602,0.923407,0.824419,1.08349,1.03935,0.730482,0.880665,1.21209,1.08848,1.02148,1.00117,0.968375,0.855729,0.95505,0.808756,0.832099,1.32246,1.02664,0.923324,0.824289,1.14761,0.876019,0.677939,1.02129,1.3702,1.06209,1.41329,0.719388,0.93451,1.1623,0.60467,0.977782,0.669815,1.0339,1.22777,1.03793,1.28788,1.17621,0.943016
39,0.64883,0.523113,0.413454,1.71358,0.254802,0.44834,2.67469,1.6216,0.778694,0.198509,0.624901,0.175152,0.894376,1.14518,0.681721,1.06985,1.23113,0.497169,0.680956,0.781938,0.677752,0.826089,0.883567,0.549315,1.31333,1.05555,0.820528,1.36535,0.614222,1.40054,0.502228,1.24709,0.395828,0.529336,0.904768,0.60423,0.780452,0.779065,1.88085,0.503075,1.76261,0.908934,0.902872,1.56579,1.24823,5.3675,1.73931,0.841377,0.718104,0.600846,0.278669,1.16169,1.05987,1.04764,0.196526,0.830135,1.29246,1.20707,0.907025
40,0.690743,1.52584,1.0782,0.836634,0.842824,0.867611,1.18379,1.17039,1.10265,0.678804,0.943002,0.588147,1.08544,0.941797,1.07514,0.888736,0.917033,1.22157,1.03192,0.863859,0.898021,0.942286,0.819149,1.18624,0.850637,1.28543,0.894302,0.947117,1.10965,0.928581,1.04487,0.935283,1,1.04654,1.05492,2.20159,1.19214,1.00318,1.16199,0.8581,1.40814,0.732051,0.97524,1.24003,1.04092,1.04151,0.813872,0.886663,0.959683,1.00497,0.672725,0.880308,0.671581,1.22217,0.590818,0.768431,1.14281,0.953034,1.06284
41,0.795779,0.765374,0.969462,1.11614,0.790023,1.22891,1.39511,0.922129,0.843965,0.544205,1.16549,1.22392,1.23714,0.788293,0.857302,0.634442,1.16132,0.711561,0.967018,1.24552,0.836893,0.866692,0.645706,0.702022,1.02595,3.98811,0.929018,0.994734,1.20751,0.997701,1.0981,1.0895,1.15122,0.818756,0.870086,0.578872,0.613795,0.989287,0.922789,0.965589,0.984672,0.956438,1.1376,1.0862,0.894044,1.15348,1.02845,0.818801,0.689958,1.09701,0.46773,1.28983,0.629826,0.90268,0.928899,1.02272,1.15205,1.14903,0.93554
43,0.872696,0.576577,1.03972,0.859871,0.938615,1.08767,1.44682,0.908371,1.43933,0.620905,1.18286,0.842749,1.71881,1.59559,1.03161,0.864292,0.969053,0.765718,1.14021,1.24235,1,1.09848,0.745037,0.77607,0.841052,0.785415,0.972707,1.21965,1.02718,0.907012,0.920321,0.897106,0.698441,0.951925,0.801646,0.537101,1.00374,1.15807,1.05895,1.13482,1.04769,1.05782,1.18303,1.53553,1.28121,1.41765,0.889736,0.927465,1.1148,1.13097,0.482745,0.885854,0.864082,0.897756,0.735952,0.88177,1.32625,1.06924,0.977577
44,0.651664,0.238079,0.634177,1.54704,0.18696,0.71435,2.20354,1.16256,0.964845,0.623942,0.810712,1.46076,1.23497,2.03346,0.497475,0.413556,0.673791,0.246484,1.03493,0.951869,0.999201,0.978122,0.848124,0.193176,0.917908,2.57351,0.892108,0.777483,0.860891,1.27288,0.699959,1.09039,0.429016,0.912884,0.974798,0.109067,0.945415,0.74378,0.953983,0.835133,1.92458,1.39472,0.545266,0.912144,1.22795,1.93182,1.328,0.630784,0.933806,0.516743,0.437415,1.28326,0.732084,0.84509,0.265422,1.29226,0.887697,0.957541,1.02319
45,1.44137,0.504462,0.693619,1.18986,0.531317,0.943009,2.15081,0.692661,1.41452,0.789138,1.0673,0.589736,1.41044,0.743423,0.826064,0.875418,0.983583,1.10576,1.10453,0.839312,0.917031,0.77953,0.452462,0.826431,1.15156,0.594502,0.849254,1.23972,1.46471,1.00806,1.34866,1.20088,0.968185,0.837754,0.928204,0.727197,1.30891,0.858894,0.944976,0.870826,1.00129,0.96439,0.856244,1.00299,1.48354,1.45684,0.91414,0.620411,0.936113,0.943944,0.701251,0.861489,0.778177,1.10954,0.465825,1.36526,1.50087,1.01471,1.50002
46,0.884236,0.514266,0.736017,1.19556,0.398304,0.78992,1.86884,0.656241,1.27542,0.78707,1.19111,0.731958,0.706058,1.60295,0.727525,0.784891,0.636978,1.12482,0.785966,1.01026,0.588313,1.18414,0.78649,0.577756,1.06613,0.815672,1.09988,0.903842,0.654582,1.16717,1.06314,1.06249,0.800623,0.938532,0.646195,0.660366,1.08877,0.85359,0.891562,1.05726,1.22523,1.12255,0.87953,0.810622,1.25014,1.0232,1.45885,0.661619,1.05622,0.668073,0.944723,0.795143,0.707979,1.15496,0.559228,0.646628,1.11877,1.00944,1.04582
101,1.13828,1.53063,1.00197,0.894459,1.37331,1.06032,0.90102,0.867171,1.3596,1.66976,0.930152,0.939631,1.09212,0.758047,1.19501,0.949236,0.788622,0.748886,0.947861,0.776125,0.95316,1.07386,0.739256,0.713353,1.0307,1.14069,0.765785,1.13955,0.73227,1.16557,1.14633,0.893376,1.05801,1.06519,0.94887,0.794436,1.34695,0.854047,0.781519,0.903607,0.953553,1.08854,0.959427,0.956169,0.996316,0.691135,0.911998,1.39563,1.0628,0.916932,1.35314,1.12191,1.07245,1.18393,0.893991,1.0853,1.04473,1.17103,1.01572
102,0.832693,1.21317,0.815226,1.09832,0.416282,0.961535,1.50862,0.912938,0.773237,1.10548,1.08874,0.38974,1.08934,1.14855,1.59956,1.08041,0.506614,1.40761,0.89873,0.966486,0.827899,0.871943,0.668347,1.25551,0.9984,1.322,0.889555,0.807619,1.47451,1.30997,1.28762,0.887901,0.816749,0.941035,1.14674,1.44058,0.758433,0.746895,1.23992,1.02696,1.12468,1.03241,1.04098,1.07185,1.31857,0.883132,0.92665,1.43453,0.975186,0.881729,0.889585,0.852509,1.07679,0.87143,0.405235,1.57134,1.27093,0.843629,1.06757
103,0.893898,0.496077,1.09681,1.06958,0.892757,1.18827,1.02285,1.51311,0.961402,0.932655,1.14362,1.09962,1.89327,0.799398,0.761729,0.930062,1.01652,2.4074,0.888721,1.12272,0.874131,0.937496,1.11883,0.727065,1.09335,1.83531,1.26685,1.10361,0.926786,1.07762,0.989395,1.07296,1.03979,0.987742,1.40982,0.961146,1.54839,1.08076,0.741262,0.953532,0.818893,1.08642,1.32547,1.14889,1.0759,1.22756,1.07368,0.793128,1.0025,0.893711,1.19194,1.08026,0.891148,0.778123,1.16085,1.10193,1.08228,1.02799,1.00732
104,0.527819,0.70559,0.716999,0.996701,0.633219,0.799177,1.58495,1.93936,1.43239,1.05534,1.17755,0.918622,1.19012,1.40732,1.07579,1.23001,1.01854,0.779522,0.977333,0.957087,1.57661,1.12285,1.14023,0.920665,1.09289,0.615486,1.09325,0.937151,0.821137,0.856802,0.824686,1.16245,0.960843,0.684022,0.898135,0.723562,1.03225,1.0822,0.979394,0.935957,1.08929,1.03848,1.03757,0.958617,1.01741,1.16814,1.04572,1.10529,0.965993,0.827157,0.596778,1.28352,0.934567,0.989671,0.477844,0.82462,0.823606,1.02801,0.917439
105,0.604045,0.518991,1.15915,1.21381,0.397242,1.3616,2.03812,0.94596,1.18724,0.96823,0.984363,0.789087,0.939694,1.3407,0.745302,0.77586,1.34538,0.941724,1.15501,1.37104,1.10819,0.864267,0.393059,0.554859,0.878225,0.895366,1.17006,0.99913,1.32405,0.887697,1.37808,1.14781,0.806996,1.09435,0.952569,0.423387,1.39092,0.998586,1.69276,1.06659,1.06951,0.930739,0.681549,1.2641,1.96867,1.99457,1.17164,0.746269,0.967734,1.03234,0.255217,1.07825,1.74013,0.955457,0.308556,0.6326,1.25996,0.973264,1.00927
106,0.923317,0.7237,1.14467,0.711716,0.856615,1.0079,0.993553,0.461171,1.15267,1.6411,0.963086,0.706632,1.54386,0.469882,0.980408,1.25667,1.46065,1.37366,1.22367,1.07222,0.863145,0.946408,0.555236,0.879779,0.962829,1.96138,1.22903,1.12091,1.62064,1.0032,0.949621,1.17196,1.09524,0.907609,0.869748,0.700788,1.33508,1.57716,1.25601,1.18692,0.750289,0.844157,0.68121,1.13484,0.649983,1.42564,0.668845,1.05721,1.00233,1.98356,0.662369,0.652078,0.802633,0.975267,1.51374,1.48206,0.69593,1.06964,0.901927
108,1.43695,1.55497,1.00649,0.906438,1.57502,0.780128,0.964687,1.10381,1.05988,1.47267,0.71095,0.765639,0.921097,0.894612,1.13244,0.884525,1.33237,0.811222,0.998012,0.934575,1.43192,1.09666,0.90574,1.13259,0.884526,0.418061,1.16622,0.968332,0.742037,1.10648,1.16162,1.01458,1.13903,0.92402,1.01162,0.974236,1.07535,0.887582,1.36597,0.879164,0.960815,0.626294,0.821854,0.90258,0.859251,1.06331,0.596056,0.810666,1.00103,1.06363,0.942074,1.07878,1.02169,1.1453,2.07843,0.857762,0.957361,0.964002,1.08258
109,0.920307,1.20688,0.793727,0.968282,1.35032,0.930543,1.10054,1.13395,1.02652,1.47847,1.136,0.899651,0.914046,0.74954,0.940395,0.910478,0.853851,0.57753,0.855128,1.0325,0.730983,1.27221,0.880029,0.580107,0.802449,0.839232,1.01426,0.846977,1.31157,1.06526,0.90325,0.909441,0.870343,0.921348,0.815899,0.805287,0.991547,0.914637,1.18349,1.57459,1.03519,1.03716,0.857754,0.954173,1.0752,1.04445,0.760388,0.956315,1.15473,0.795229,0.684346,0.954514,0.748314,1.19338,0.885865,0.840096,1.0289,0.979206,1.10067
112,1.212,1.09093,1.23774,1.09929,0.845117,0.939148,1.38752,1.22783,0.94265,1.43673,1.5072,0.655201,0.956984,1.18068,0.888761,0.57697,1.05905,0.67996,1.10034,0.749091,1.05581,0.87359,0.947468,0.450526,1.12853,1.29749,0.992575,1.19573,1.25842,1.30289,1.17696,1.08335,0.492459,1.11995,0.990413,0.340522,1.36397,0.971649,1.23404,1.54474,0.818154,1.30435,1.09585,0.950787,1.41323,0.90142,1.28596,1.01033,0.82431,0.810161,0.673688,0.860717,0.937485,1.08705,0.844544,0.859428,0.862195,0.957066,1.01308
113,0.821262,1.03079,1.03618,1.12336,1.02833,0.864286,0.642359,0.640287,0.895369,1.13648,1.08354,1.29214,0.994002,1.53594,0.753539,0.783503,0.858184,0.81869,1.20985,0.870166,1.01241,1.3344,1.18463,1.01957,0.845263,1.44528,1.01443,0.694214,0.862125,1.10979,1.19786,1.03364,1.5152,1.6213,1.2636,0.630996,1.45589,1.09137,0.752833,0.94021,0.93181,1.25388,0.813471,1.03554,0.988253,0.822054,0.892921,1.11472,1.03912,0.758066,1.42285,1.17769,0.812534,0.749874,1.00386,1.13844,0.878025,1.00977,1.05117
114,0.789363,0.767088,1.06948,0.983096,0.617996,0.680026,0.841666,1.686,0.754135,0.543901,0.891672,0.661859,0.866546,1.00232,1.36308,0.761405,0.87307,0.602197,0.981126,0.778362,1.37413,0.926156,1.76744,0.792149,1.04001,0.282008,1.30728,1.5568,0.909961,1.09345,0.975199,0.952532,0.779703,0.993802,0.909806,0.871763,0.741819,0.955687,0.692133,0.800588,1.13474,1.29758,1.03216,0.844456,1.06071,1.1918,1.10802,1.88654,1.00426,0.752757,1.27335,1.53153,0.915723,0.809231,0.657589,0.966937,0.925571,0.983245,0.67024
